1792,1741
1923,2224
118,2090
2024,2276
1224,2223
1534,951
1640,1347
1976,1296
2246,1157
806,1710
931,658
1796,1860
1481,536
1187,89
189,1741
1567,310
2107,1752
2081,531
1286,68
1976,2235
1215,1356
819,1356
549,1495
1251,1013
614,1890
1686,941
1232,771
808,443
2017,2209
1004,2075
2086,1814
212,1321
904,905
2220,1814
205,904
2158,936
1480,2004
1824,1814
1344,423
2276,1157
230,1900
619,921
1195,2020
2222,1860
1049,505
1799,1757
1912,880
90,1331
969,2239
2103,2168
1645,536
1232,1121
960,433
258,915
1039,1480
65,520
1949,1701
1147,259
1944,1357
911,2234
1901,721
589,2183
962,2199
504,1321
141,515
1741,1937
1345,1937
1674,715
1940,834
1520,248
897,1023
1762,2225
697,1901
296,1557
711,1799
595,1624
2006,141
951,505
1371,1845
1429,1261
968,674
970,747
419,1398
1633,310
332,2153
308,1567
1803,721
1476,326
505,2081
1288,1029
949,1563
2186,2179
1771,1937
2158,131
506,993
210,2163
669,1923
614,2024
1321,388
875,1799
1633,660
236,351
363,1624
1774,141
296,402
822,2138
1333,398
1988,70
374,1224
131,1466
155,1860
2056,204
960,567
760,2199
1567,1733
240,1409
1713,804
1857,2246
1461,2246
1098,2194
2249,784
1595,2246
2266,953
2001,1436
2030,2174
1939,558
581,921
1319,850
660,1968
1453,850
1057,850
412,1866
1,80
2260,384
1633,1949
2060,2016
637,1984
293,2174
236,1640
2077,1431
270,470
1606,423
1242,1569
1204,1277
1925,1599
60,660
505,1276
132,536
2095,1256
2004,1892
1918,620
2263,840
45,1291
1640,1615
1984,2179
881,1563
1940,1318
813,116
949,1697
1446,1749
1141,1867
444,1939
480,2158
1932,676
538,1574
2071,1020
2263,1190
859,2154
2053,2134
241,829
1065,2030
60,1949
1741,327
1462,912
1901,50
1749,1908
505,121
1592,1924
1790,219
583,943
1930,1919
870,1939
1522,404
1623,456
890,1625
1265,748
293,1369
1077,1451
956,932
355,1466
1845,276
520,1533
1282,1102
1111,1220
1985,1976
70,2236
1861,220
1639,1339
1723,1976
2136,2145
1288,358
329,1184
1547,1750
2266,1437
1285,1750
633,1595
541,2006
1976,1109
2031,816
1616,574
1299,867
296,2175
652,1056
841,1709
1956,1396
1937,1154
1875,276
1567,123
956,2221
1066,1827
1004,949
1835,877
1976,2048
1530,241
186,502
2149,1976
1753,1976
2025,220
2049,806
1629,220
1491,1976
930,1939
272,1939
1480,1817
1418,939
1941,2212
795,1714
2225,1971
1745,1334
1853,113
533,1714
1569,354
696,954
1895,1278
152,2022
2235,2100
1495,1344
1911,1222
1923,293
1706,1756
1783,1976
164,2032
119,569
1249,1288
698,1939
205,2006
1814,2228
1695,816
1948,2228
2158,2038
637,1663
1230,2177
862,1781
2211,1110
1956,591
1161,128
1333,1366
531,2176
32,2263
1400,144
1976,1243
145,2140
1862,175
2263,519
1583,760
1633,123
977,950
366,796
2243,806
1632,652
1066,1961
1117,960
52,636
1898,771
1390,2058
1295,1232
1025,1371
1522,2177
1799,765
1663,904
1606,370
1344,370
1860,1418
1741,6
1187,386
1968,951
1939,21
703,2259
2026,175
2122,637
1852,776
1482,1997
2263,1808
1414,550
10,760
760,2012
2212,530
1589,1305
123,637
1291,1648
2146,2162
637,858
112,1976
1201,442
927,1371
2004,766
669,581
1357,955
1398,956
813,2023
1895,1762
1066,217
2234,1228
508,1387
1976,438
2186,248
881,437
664,1900
2266,1705
884,1674
970,694
1639,1018
1398,1895
290,935
1754,1530
2186,1187
1279,2203
2225,361
1936,258
828,52
1741,2234
1409,1495
1390,1253
1474,1890
2224,890
1866,1182
1613,736
2110,1542
964,98
2230,1644
2204,423
1877,28
622,334
842,1798
2263,1003
575,2208
24,2105
2228,258
70,760
159,1741
1854,17
1004,1567
2263,1942
1609,1152
2254,890
237,119
806,47
1666,905
582,1285
615,1233
1984,248
1062,1922
296,699
1495,1023
2006,1727
1364,2260
1338,1039
1333,695
2231,1845
1066,351
345,591
2275,1363
1845,89
847,1741
186,1470
1306,1501
1984,1187
654,1346
1741,1429
1509,1860
1588,2153
1476,1912
2080,895
1567,2030
